,Organism,plasmidAccId,plasmidLength,chromosomeAccId,chromosomeLength,plasmidGC,plasmidGC,chromosmeGC
177,Enterococcus mundtii QU 25 (firmicutes),NC_022879.1,181920,NC_022878.1,3022186,36.24,36.24,38.61
178,Paracoccus sp. CBA4604 (a-proteobacteria),NZ_CP025584.1,149225,NZ_CP025583.1,3121136,62.15,62.15,66.81
179,Paracoccus sp. CBA4604 (a-proteobacteria),NZ_CP025585.1,28805,NZ_CP025583.1,3121136,59.35,59.35,66.81
180,Bacillus thuringiensis serovar morrisoni (firmicutes),NZ_CP010578.1,232994,NZ_CP010577.1,5652292,33.71,33.71,35.33
181,Bacillus thuringiensis serovar morrisoni (firmicutes),NZ_CP010583.1,4845,NZ_CP010577.1,5652292,41.59,41.59,35.33
182,Bacillus thuringiensis serovar morrisoni (firmicutes),NZ_CP010582.1,51723,NZ_CP010577.1,5652292,29.27,29.27,35.33
183,Bacillus thuringiensis serovar morrisoni (firmicutes),NZ_CP010581.1,68444,NZ_CP010577.1,5652292,32.23,32.23,35.33
184,Bacillus thuringiensis serovar morrisoni (firmicutes),NZ_CP010580.1,76979,NZ_CP010577.1,5652292,30.31,30.31,35.33
185,Bacillus thuringiensis serovar morrisoni (firmicutes),NZ_CP010579.1,92619,NZ_CP010577.1,5652292,34.46,34.46,35.33
186,Legionella hackeliae (g-proteobacteria),NZ_LN681226.1,129882,NZ_LN681225.1,3440975,37.46,37.46,39.02
187,Desulfotalea psychrophila LSv54 (d-proteobacteria),NC_006139.1,121587,NC_006138.1,3523383,43.61,43.61,46.81
188,Desulfotalea psychrophila LSv54 (d-proteobacteria),NC_006140.1,14664,NC_006138.1,3523383,28.56,28.56,46.81
189,Acinetobacter baumannii (g-proteobacteria),NZ_CP017647.1,73891,NZ_CP017646.1,3983069,33.72,33.72,39.03
190,Leptospira interrogans serovar Copenhageni (bacteria),NZ_CP020413.2,350181,NZ_CP020414.2,4280582,34.98,34.98,35.05
191,Hymenobacter sp. APR13 (CFB group bacteria),NZ_CP006588.1,121544,NZ_CP006587.1,4870994,59.62,59.62,61.93
192,Hymenobacter sp. APR13 (CFB group bacteria),NZ_CP006589.1,14081,NZ_CP006587.1,4870994,54.73,54.73,61.93
193,Hymenobacter sp. APR13 (CFB group bacteria),NZ_CP006590.1,3975,NZ_CP006587.1,4870994,47.22,47.22,61.93
194,Klebsiella pneumoniae (enterobacteria),NZ_CP025144.1,204123,NZ_CP025143.1,5388622,52.98,52.98,57.39
195,Klebsiella pneumoniae (enterobacteria),NZ_CP025145.1,149158,NZ_CP025143.1,5388622,52.94,52.94,57.39
196,Escherichia coli (E. coli),NZ_CP024135.1,63978,NZ_CP024134.1,5199281,42.58,42.58,50.65
197,Escherichia coli (E. coli),NZ_CP024136.1,93781,NZ_CP024134.1,5199281,52.34,52.34,50.65
198,Escherichia coli (E. coli),NZ_CP024137.1,107279,NZ_CP024134.1,5199281,48.4,48.4,50.65
199,Enterococcus hirae ATCC 9790 (firmicutes),NC_015845.1,28699,NC_018081.1,2827741,33.27,33.27,36.94
200,Escherichia coli O169:H41 (E. coli),NZ_CP024264.1,72060,NZ_CP024263.1,4934701,45.8,45.8,50.44
201,Escherichia coli O169:H41 (E. coli),NZ_CP024265.1,150389,NZ_CP024263.1,4934701,46.38,46.38,50.44
202,Klebsiella variicola (enterobacteria),NZ_CP017285.1,108857,NZ_CP017289.1,5599927,55.22,55.22,57.27
203,Klebsiella variicola (enterobacteria),NZ_CP017286.1,92231,NZ_CP017289.1,5599927,51.23,51.23,57.27
204,Klebsiella variicola (enterobacteria),NZ_CP017287.1,73385,NZ_CP017289.1,5599927,53.97,53.97,57.27
205,Klebsiella variicola (enterobacteria),NZ_CP017288.1,58665,NZ_CP017289.1,5599927,51.66,51.66,57.27
206,Bacillus velezensis (firmicutes),NZ_CP021977.1,6983,NZ_CP021976.1,3893083,39.37,39.37,46.71
207,Mycobacterium ulcerans subsp. shinshuense (high GC Gram+),NZ_AP017625.1,166617,NZ_AP017624.1,5899681,62.76,62.76,65.64
208,Salmonella enterica subsp. enterica serovar Enteritidis (enterobacteria),NZ_CP018649.1,54541,NZ_CP018648.1,4688972,52.13,52.13,52.19
209,Salmonella enterica subsp. enterica serovar Enteritidis (enterobacteria),NZ_CP018650.1,59372,NZ_CP018648.1,4688972,51.96,51.96,52.19
210,Acetobacter sp. JWB (a-proteobacteria),NZ_CP030872.1,137977,NZ_CP030871.1,2785934,52.15,52.15,52.36
211,Acetobacter sp. JWB (a-proteobacteria),NZ_CP030873.1,17910,NZ_CP030871.1,2785934,53.79,53.79,52.36
212,Salmonella enterica subsp. enterica serovar Heidelberg (enterobacteria),NZ_CP016564.1,37697,NZ_CP016563.1,4751227,41.18,41.18,52.19
213,Clostridium tyrobutyricum (firmicutes),NZ_CP014171.1,62831,NZ_CP014170.1,3071606,27.6,27.6,31.08
214,Pseudomonas chlororaphis (g-proteobacteria),NZ_CP011111.1,16587,NZ_CP011110.1,6646309,56.32,56.32,64.03
215,Streptococcus infantarius subsp. infantarius CJ18 (firmicutes),NC_016837.1,19829,NC_016826.1,1988420,34.96,34.96,37.56
216,Aeromonas hydrophila subsp. hydrophila (g-proteobacteria),NZ_CP028562.1,14800,NZ_CP028568.1,5022867,60.01,60.01,61.08
217,Aeromonas hydrophila subsp. hydrophila (g-proteobacteria),NZ_CP028563.1,11840,NZ_CP028568.1,5022867,60.34,60.34,61.08
