,AccID,Organism,Length,GC-content
25,NC_001373.1,"Escherichia coli strain GM31 plasmid ColA, complete sequence",6720,50.39
26,NC_001376.1,"Bacillus subtilis plasmid pIM13, complete sequence",2246,31.17
27,NC_001377.1,"Neisseria gonorrhoeae strain UM01 plasmid pJD1, complete sequence",4207,51.53
28,NC_001378.1,"Shigella sonnei plasmid pKYM, complete sequence",2083,47.1
29,NC_001379.1,"Lactobacillus helveticus subsp. jugurti plasmid pLJ1, complete sequence",3292,35.33
30,NC_001380.1,"Streptococcus agalactiae plasmid pLS1, complete sequence",4408,37.23
31,NC_001381.1,"Mycobacterium fortuitum plasmid pAL5000, complete sequence",4837,64.94
32,NC_001382.1,"Plasmid pADB201 (from Mycoplasma mycoides), complete genome",1717,29.47
33,NC_001383.1,"Stenotrophomonas maltophilia plasmid pNKH43, complete sequence",1471,62.68
34,NC_001384.1,"Staphylococcus aureus plasmid pUB110, complete sequence",4548,35.71
35,NC_001385.1,"Corynebacterium glutamicum plasmid pAM330 DNA, complete sequence",4448,53.35
36,NC_001387.1,"Streptomyces lividans plasmid pIJ101, complete sequence",8830,72.98
37,NC_001388.1,"Clostridium perfringens plasmid pIP404, complete sequence",10206,24.99
38,NC_001390.1,"Staphylococcus epidermidis plasmid pNE131, complete sequence",2355,31.0
39,NC_001391.1,"Staphylococcus aureus plasmid pNS1, complete sequence",3879,29.88
40,NC_001393.1,"Staphylococcus aureus plasmid pT181, complete sequence",4439,30.07
41,NC_001395.1,"Staphylococcus aureus strain T48 plasmid pT48, complete sequence",2475,30.91
42,NC_001399.1,"Ralstonia solanacearum M4S plasmid pJTPS1, complete sequence",6633,62.13
43,NC_001415.1,"Corynebacterium glutamicum strain 22243 R-plasmid pAG1, complete sequence",19751,58.98
44,NC_001425.2,"Streptomyces flavovirens plasmid pSN22 DNA, complete sequence",11046,71.88
45,NC_001431.1,"Ralstonia pickettii plasmid pMBCP, complete sequence",2241,60.15
46,NC_001446.1,"Bacillus thuringiensis sv israelensis HI4 plasmid pTX14-3, complete sequence",7649,35.17
47,NC_001456.1,"Corynebacterium glutamicum ATCC 19223 plasmid pSR1, complete sequence",3054,56.97
48,NC_001476.1,"Helicobacter pylori plasmid pHPM186, complete sequence",12887,35.92
49,NC_001496.1,"Bacillus anthracis virulence plasmid PX01, complete sequence",181654,32.53
50,NC_001520.1,Acidithiobacillus ferrooxidans pTF4.1 plasmid complete genome,4104,62.21
51,NC_001537.1,"Escherichia coli 29k plasmid pECO29, complete sequence",3895,45.91
52,NC_001597.1,"Microcystis aeruginosa plasmid pMA2 DNA, complete sequence",4993,42.24
53,NC_001670.1,"Lactobacillus delbrueckii plasmid pWS58, complete sequence",7921,45.13
54,NC_001705.1,"Bacillus cereus plasmid pBC16, complete sequence",4630,34.21
55,NC_001735.4,"Enterobacter aerogenes plasmid R751, complete sequence",53423,64.12
56,NC_001738.1,"Streptomyces clavuligerus ATCC 27064 plasmid pSCL, complete sequence",11696,71.94
57,NC_001740.1,"Escherichia coli plasmid RSF1010, complete sequence",8684,60.96
58,NC_001755.1,"Rhodothermus marinus R-21 plasmid pRM21, complete sequence",2935,58.19
59,NC_001756.1,"Helicobacter pylori plasmid pHPM180, complete sequence",3506,37.02
60,NC_001757.1,"Lactobacillus reuteri 100-23 plasmid pGT232, complete sequence",5113,37.16
61,NC_001758.1,"Ruminococcus flavefaciens R13e2 cryptic plasmid pBAW301, complete sequence",1768,43.67
62,NC_001759.1,"Streptomyces phaeochromogenes plasmid pJV1, complete sequence",11143,71.72
63,NC_001760.1,"Prevotella ruminicola plasmid pRAM4, complete sequence, ORF1 and ORF2 genes, complete cds",3130,49.17
64,NC_001763.1,"Staphylococcus aureus plasmid J3358, complete sequence",6024,31.21
65,NC_001764.1,"Bacillus subtilis plasmid pTA1040, complete sequence",7837,36.9
66,NC_001765.1,"Bacillus subtilis plasmid pTA1015, complete sequence",5807,40.69
67,NC_001766.1,"Bacillus subtilis plasmid pTA1060, complete sequence",8737,38.07
68,NC_001767.1,"Staphylococcus aureus plasmid pKH6, complete sequence",4439,30.1
69,NC_001772.1,"Clostridium sp. MCF-1 indigenous plasmid, complete sequence",2450,39.27
70,NC_001774.1,"Pasteurella multocida Pm1096 plasmid pIG1, complete sequence",5360,47.46
71,NC_001787.1,"Trueperella pyogenes plasmid pAP1, complete sequence",2439,53.83
72,NC_001791.1,"Corynebacterium glutamicum strain 1014 plasmid pXZ10145.1, complete sequence",4885,59.63
73,NC_001797.1,"Streptococcus agalactiae plasmid pGB354, complete plasmid sequence",6437,32.89
74,NC_001843.1,"Helicobacter pylori plasmid pHP489, complete plasmid sequence",1222,33.31
75,NC_001845.1,"Zymomonas mobilis ATCC10988 plasmid pZMO1, complete sequence",1680,38.75
76,NC_001848.1,"Salmonella enterica enterica sv Berta plasmid pBERT, complete sequence",4656,52.49
77,NC_001849.2,"Borrelia burgdorferi B31 plasmid lp17, complete sequence",16821,23.12
78,NC_001850.1,"Borrelia burgdorferi B31 plasmid lp25, complete sequence",24177,23.34
79,NC_001851.2,"Borrelia burgdorferi B31 plasmid lp28-1, complete sequence",28155,32.75
80,NC_001852.1,"Borrelia burgdorferi B31 plasmid lp28-2, complete sequence",29766,31.64
81,NC_001853.1,"Borrelia burgdorferi B31 plasmid lp28-3, complete sequence",28601,25.04
82,NC_001854.1,"Borrelia burgdorferi B31 plasmid lp28-4, complete sequence",27323,24.53
83,NC_001855.1,"Borrelia burgdorferi B31 plasmid lp36, complete sequence",36849,26.93
84,NC_001856.1,"Borrelia burgdorferi B31 plasmid lp38, complete sequence",38829,26.07
85,NC_001857.2,"Borrelia burgdorferi B31 plasmid lp54, complete sequence",53657,28.14
86,NC_001858.1,"Bacillus pumilus plasmid pPL10, complete plasmid sequence",7028,36.88
87,NC_001880.1,"Aquifex aeolicus VF5 plasmid ece1, complete sequence",39456,36.44
88,NC_001898.1,"Tatumella citrea plasmid pUCD5000, complete sequence",5229,49.09
89,NC_001903.1,"Borrelia burgdorferi B31 plasmid cp26, complete sequence",26498,26.3
90,NC_001904.1,"Borrelia burgdorferi B31 plasmid cp9, complete sequence",9386,23.69
91,NC_001910.1,"Buchnera aphidicola Sg plasmid pLeu-Sg, complete sequence",7967,26.81
92,NC_001911.1,"Buchnera aphidicola Dn plasmid pLeu-Dn, complete sequence",7768,25.89
93,NC_001949.1,"Lactococcus lactis DPC3147 plasmid pMRC01, complete sequence",60232,30.11
94,NC_001974.1,"Synechococcus sp. (strain:MA4) plasmid pMA4 DNA, complete genome sequence",2514,48.77
95,NC_001988.2,"Clostridium acetobutylicum ATCC 824 plasmid pSOL1, complete sequence",192000,30.91
96,NC_001994.1,"Staphylococcus aureus plasmid pSK3, complete sequence",1658,34.02
97,NC_001995.1,"Staphylococcus aureus plasmid pSK6, complete sequence",1551,33.53
98,NC_002002.1,"Fusobacterium nucleatum plasmid pPA52, complete sequence",6281,23.1
99,NC_002013.1,"Staphylococcus aureus plasmid pC194, complete sequence",2910,29.38
100,NC_002033.1,"Novosphingobium aromaticivorans plasmid pNL1, complete sequence",184457,62.25
101,NC_002056.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pSC101, complete sequence",9263,51.17
102,NC_002059.1,"Butyrivibrio fibrisolvens plasmid pOM1, complete genome",2804,40.62
103,NC_002060.1,"Microcystis aeruginosa small plasmid pMA1 DNA, complete sequence (encoding replication protein, complete cds)",2287,41.15
104,NC_002061.1,"Leptolyngbya foveolarum plasmid pPF1, complete sequence",1509,47.05
105,NC_002062.1,"Geobacillus stearothermophilus plasmid pSTK1 DNA, complete sequence",1883,44.08
106,NC_002070.1,"Tatumella citrea plasmid pPZG500, complete sequence",3661,32.83
107,NC_002075.1,"Bacillus subtilis plasmid p1414, complete plasmid sequence",7949,38.31
108,NC_002088.1,"Vibrio parahaemolyticus plasmid pSA19 DNA, complete sequence",4839,40.32
109,NC_002090.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid NTP16, complete sequence",8255,46.49
110,NC_002091.1,"Bacillus thuringiensis sv israelensis plasmid pTX14-1, complete sequence",5415,36.33
111,NC_002092.1,"Xylella fastidiosa plasmid pXF868, complete sequence",1296,54.86
112,NC_002093.1,"Staphylococcus lugdunensis strain 995 cadmium resistance plasmid pLUG10, complete sequence",3117,29.64
113,NC_002094.1,"Marinococcus halophilus plasmid pPL1, complete sequence",3874,38.93
114,NC_002095.1,"Chlorobium limicola strain DSM 249 endogenous plasmid pCL1, complete genomic sequence",14636,52.62
115,NC_002096.1,"Staphylococcus aureus plasmid pKH7, complete sequence",4118,28.8
116,NC_002098.1,"Neisseria gonorrhoeae plasmid pJD4, complete sequence",7426,38.34
117,NC_002099.1,"Corynebacterium glutamicum plasmid pXZ10142, complete sequence",2444,57.04
118,NC_002100.1,"Phytoplasma sp. plasmid phytoplasma specific extrachromosomal DNA, complete sequence",2645,22.19
119,NC_002102.1,"Lactobacillus helveticus DSM 20075 plasmid pLH1, complete sequence",19360,36.58
120,NC_002108.1,"Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB2062, complete sequence",2062,34.82
121,NC_002109.1,"Francisella tularensis plasmid pOM1, complete sequence",4442,40.63
122,NC_002110.1,"Helicobacter pylori plasmid pHPO100, complete sequence",3520,36.19
123,NC_002111.1,"Riemerella anatipestifer 10 plasmid pCFC1, complete sequence",3966,27.16
124,NC_002112.1,"Streptomyces cyaneus plasmid pSA1.1, complete sequence",9014,68.73
125,NC_002113.1,"Nitrosomonas sp. plasmid pAYS DNA, complete sequence, strain:ENI-11",1823,50.03
126,NC_002114.1,"Nitrosomonas sp. ENI-11 plasmid pAYL DNA, complete sequence",1910,47.33
127,NC_002115.1,"Corynebacterium glutamicum plasmid unknown, complete sequence",4457,53.38
128,NC_002117.1,"Chlamydia psittaci plasmid pCpA1, complete sequence",7553,32.94
129,NC_002118.1,"Coxiella burnetii plasmid QpH1, complete sequence",37329,39.32
130,NC_002119.1,"Escherichia coli K-12 P678-54 plasmid CloDF13, complete sequence",9957,54.4
131,NC_002120.1,"Yersinia enterocolitica W22703 plasmid pYVe227, complete sequence",69673,44.21
132,NC_002122.1,"Shigella sonnei plasmid P9 DNA, complete sequence",93399,50.22
133,NC_002123.1,"Lactobacillus plantarum L137 plasmid pLTK2, complete sequence",2295,38.56
134,NC_002126.1,"Pediococcus pentosaceus plasmid pMD136, complete sequence",19533,34.12
135,NC_002127.1,"Escherichia coli O157:H7 str. Sakai plasmid pOSAK1, complete sequence",3306,43.41
136,NC_002128.1,"Escherichia coli O157:H7 str. Sakai plasmid pO157, complete sequence",92721,47.6
137,NC_002129.1,"Staphylococcus aureus plasmid pC221, complete sequence",4557,31.64
138,NC_002130.1,"Riemerella anatipestifer plasmid pCFC2, complete sequence",5609,28.04
139,NC_002131.1,"Coxiella burnetii strain R1140 plasmid QpDV, complete sequence",32601,39.53
140,NC_002132.1,"Flavobacterium sp. KP1 plasmid pFL1 DNA, complete sequence",2311,32.67
141,NC_002133.1,"Bifidobacterium breve plasmid pCIBb1, complete sequence",5750,56.9
142,NC_002134.1,"Shigella flexneri 2b plasmid R100 DNA, complete sequence",94281,51.97
143,NC_002136.1,"Streptococcus agalactiae plasmid pGB3634, complete sequence",5842,33.6
144,NC_002137.1,"Lactococcus lactis cremoris NIZO B40 plasmid pNZ4000, complete sequence",42810,33.31
145,NC_002138.1,"Lactococcus lactis UC509.9 plasmid pCIS3, complete sequence",6159,35.87
146,NC_002139.1,"Selenomonas ruminantium plasmid pSR1, complete sequence",4692,51.3
147,NC_002140.1,"Streptococcus suis plasmid pSSU1 DNA, complete sequence",4975,36.86
148,NC_002141.1,"Leptolyngbya boryana plasmid pPBS1, complete sequence",1511,47.12
149,NC_002142.1,"Escherichia coli B171 plasmid pB171 DNA, complete sequence",68817,46.02
150,NC_002143.1,"Comamonas testosteroni PtL5 cryptic plasmid pPT1, complete sequence",15398,56.2
151,NC_002144.1,"Yersinia pestis CH971662 plasmid pYC, complete sequence",5919,40.45
152,NC_002145.1,"Escherichia coli KL4 plasmid pKL1, complete sequence",1549,50.87
153,NC_002146.1,"Bacillus anthracis plasmid pXO2, complete sequence",96231,33.08
154,NC_002147.1,"Agrobacterium tumefaciens MAFF301001 plasmid pTi-SAKURA, complete sequence",206479,56.0
155,NC_002148.1,"Erysipelothrix rhusiopathiae plasmid pAP1, complete sequence",1987,31.45
156,NC_002150.1,"Lactococcus lactis plasmid pAH33, complete sequence",6159,35.85
157,NC_002175.1,"Methylophaga thalassica strain S1 2kb cryptic plasmid, complete plasmid sequence",1995,42.46
158,NC_002182.1,"Chlamydia muridarum Nigg plasmid pMoPn, complete sequence",7501,35.72
159,NC_002191.1,"Lactobacillus delbrueckii subsp. bulgaricus plasmid pLBB1, complete plasmid sequence",6127,44.88
160,NC_002192.1,"Lactococcus lactis plasmid pWV01, complete sequence",2178,33.43
161,NC_002193.1,"Lactococcus lactis cremoris Cremoris Wg2 plasmid pWVO2, complete sequence",3826,31.34
162,NC_002252.1,"Buchnera aphidicola str. APS (Acyrthosiphon pisum) plasmid pTrp, complete sequence",7258,30.61
163,NC_002253.1,"Buchnera aphidicola str. APS (Acyrthosiphon pisum) plasmid pLeu, complete sequence",7786,26.71
164,NC_002305.1,"Salmonella typhi plasmid R27, complete sequence",180461,45.78
165,NC_002377.1,"Agrobacterium tumefaciens plasmid Ti, complete sequence",194140,54.62
166,NC_002473.1,"Vibrio parahaemolyticus plasmid pO3K6 DNA, complete sequence",8784,45.15
167,NC_002483.1,"Escherichia coli K-12 plasmid F DNA, complete sequence",99159,48.17
168,NC_002487.1,"Escherichia coli plasmid pCol-let, complete sequence",5847,46.72
169,NC_002489.3,"Xylella fastidiosa 9a5c plasmid pXF1.3, complete sequence",1286,55.52
170,NC_002490.1,"Xylella fastidiosa 9a5c plasmid pXF51, complete sequence",51158,49.57
171,NC_002497.1,"Edwardsiella ictaluri plasmid pEI1, complete plasmid sequence",4807,51.15
172,NC_002498.1,"Edwardsiella ictaluri plasmid pEI2, complete plasmid sequence",5643,51.13
173,NC_002502.1,"Lactococcus lactis lactis UC317 plasmid pCI305, complete sequence",8694,32.41
174,NC_002517.1,"Staphylococcus aureus plasmid p21, complete sequence",20719,28.6
175,NC_002518.1,"Pseudomonas putida P8 plasmid pPP81, complete sequence",2534,58.64
176,NC_002522.1,"Brevibacterium linens plasmid LIM, complete sequence",7610,58.9
177,NC_002523.4,"Serratia entomophila plasmid pADAP, complete sequence",153404,50.7
178,NC_002524.1,"Uncultured eubacterium pIE1115 plasmid pIE1115, complete sequence",10687,56.24
179,NC_002525.1,"Escherichia coli K-12 plasmid R721, complete sequence",75582,42.63
180,NC_002569.1,"Mycoplasma leachii plasmid pBG7AU, complete sequence",1022,30.72
181,NC_002575.1,"Agrobacterium rhizogenes plasmid pRi1724 DNA, complete sequence",217594,57.32
182,NC_002576.1,"Rhodococcus equi 103 plasmid p103, complete sequence",80609,64.61
183,NC_002579.1,"Aggregatibacter actinomycetemcomitans plasmid pVT745, complete sequence",25407,38.99
184,NC_002580.1,"Propionibacterium freudenreichii plasmid p545, complete sequence",3555,62.76
185,NC_002610.1,"Klebsiella pneumoniae plasmid pKlebB-k17/80, complete sequence",5258,49.28
186,NC_002611.1,"Propionibacterium acidipropionici plasmid pRGO1, complete sequence",6868,65.35
187,NC_002630.1,"Enterococcus faecalis plasmid pAM373, complete sequence",36804,34.71
188,NC_002632.1,"Proteus vulgaris plasmid pPvu1, complete sequence",4675,42.89
189,NC_002635.1,"Bifidobacterium longum KJ plasmid pKJ36, complete sequence",3625,65.13
190,NC_002637.1,"Mannheimia haemolytica R122 plasmid pMHSCS1, complete sequence",4992,46.23
191,NC_002638.1,"Salmonella enterica enterica sv Choleraesuis RF-1 plasmid pKDSC50, complete sequence",49503,52.07
192,NC_002650.1,"Treponema denticola plasmid pTS1, complete sequence",3649,34.17
193,NC_002664.1,"Histophilus somni small plasmid, complete sequence",1065,39.25
194,NC_002675.1,"Bacillus sp. B-3 plasmid pA01 DNA, complete genome",3325,39.43
195,NC_002679.1,"Mesorhizobium loti MAFF303099 pMLa DNA, complete genome",351911,59.29
196,NC_002682.1,"Mesorhizobium loti MAFF303099 plasmid pMLb DNA, complete genome",208315,59.88
197,NC_002698.1,"Shigella flexneri 5a virulence plasmid pWR501, complete sequence",221851,46.36
198,NC_002699.1,"Frankia sp. CpI1 plasmid pFQ12, complete plasmid sequence",22437,75.62
199,NC_002748.1,"Lactococcus lactis subsp. lactis strain MJC15 plasmid pCD4, complete sequence",6094,33.43
200,NC_002757.1,"Streptococcus mutans UA140 plasmid pUA140, complete sequence",5640,32.7
201,NC_002759.1,"Pseudomonas syringae pv. maculicola str. M6 plasmid pFKN, complete sequence",39554,53.55
202,NC_002760.1,"Acinetobacter sp. EB104, plasmid pAC450, complete genome",4379,49.74
203,NC_002773.1,"Shigella flexneri 2a plasmid p2457TS2, complete sequence",3179,45.08
204,NC_002774.1,"Staphylococcus aureus subsp. aureus Mu50 plasmid VRSAp DNA, complete sequence",25107,28.93
205,NC_002775.1,"Corynebacterium jeikeium plasmid pK43, complete sequence",7617,54.69
206,NC_002776.1,"Streptococcus thermophilus plasmid pER13, complete sequence",4139,38.44
207,NC_002798.1,"Lactococcus lactis DCH-4 plasmid pSRQ700, complete sequence",7784,34.19
208,NC_002799.1,"Lactococcus lactis plasmid pCRL291.1, complete sequence",4640,33.51
209,NC_002806.1,"Microscilla sp. PRE1 plasmid pSD15, complete sequence",101648,41.5
210,NC_002809.1,"Shigella sonnei plasmid ColJs, complete sequence",5210,48.58
211,NC_002810.1,"Streptococcus mutans LM7 plasmid pLM7, complete sequence",5658,32.73
212,NC_003037.1,"Sinorhizobium meliloti 1021 plasmid pSymA, complete sequence",1354226,60.37
213,NC_003042.1,"Clostridium perfringens str. 13 plasmid pCP13 DNA, complete sequence",54310,25.5
214,NC_003064.2,"Agrobacterium fabrum str. C58 plasmid At, complete sequence",542868,57.33
215,NC_003065.3,"Agrobacterium fabrum str. C58 plasmid Ti, complete sequence",214233,56.67
216,NC_003078.1,"Sinorhizobium meliloti 1021 plasmid pSymB, complete sequence",1683333,62.42
217,NC_003079.1,"Salmonella choleraesuis 79500 plasmid pSFD10, complete sequence",4091,51.8
218,NC_003080.1,"Corynebacterium jeikeium K411 plasmid pKW4, complete sequence",14323,53.77
219,NC_003091.1,"Fusobacterium nucleatum plasmid pKH9, complete sequence",4975,29.23
220,NC_003099.1,"Oenococcus oeni plasmid pRS3, complete sequence",3948,35.64
221,NC_003101.1,"Lactococcus lactis CRL1127 plasmid pCRL1127, complete sequence",8278,34.82
222,NC_003114.1,"Citrobacter rodentium strain DBS100 plasmid pCRP3, complete sequence",3172,46.78
223,NC_003123.1,"Aeromonas salmonicida subsp. salmonicida plasmid pRAS3.1, complete sequence",11851,58.91
224,NC_003124.1,"Aeromonas salmonicida plasmid pRAS3.2, complete sequence",11823,59.01
225,NC_003125.1,"Actinobacillus pleuropneumoniae plasmid pTYM1, complete sequence",4242,47.95
226,NC_003131.1,"Yersinia pestis CO92 plasmid pCD1, complete sequence",70305,44.84
227,NC_003132.1,"Yersinia pestis CO92 plasmid pPCP1, complete sequence",9612,45.27
228,NC_003134.1,"Yersinia pestis CO92 plasmid pMT1, complete sequence",96210,50.23
229,NC_003140.1,"Staphylococcus aureus subsp. aureus N315 plasmid pN315 DNA, complete sequence",24653,28.7
230,NC_003201.1,"Oenococcus oeni plasmid pRS2, complete sequence",2544,35.38
231,NC_003239.1,"Corynebacterium diphtheriae plasmid pNGA2, complete sequence",4191,51.37
232,NC_003240.1,"Nostoc sp. PCC 7120 plasmid pCC7120beta DNA, complete sequence",186614,40.23
233,NC_003241.1,"Nostoc sp. PCC 7120 plasmid pCC7120zeta DNA, complete sequence",5584,44.18
234,NC_003265.1,"Staphylococcus aureus TY4 plasmid pETB, complete sequence",38211,27.75
235,NC_003267.1,"Nostoc sp. PCC 7120 plasmid pCC7120gamma DNA, complete sequence",101965,41.03
236,NC_003270.1,"Nostoc sp. PCC 7120 plasmid pCC7120epsilon DNA, complete sequence",40340,40.86
237,NC_003273.1,"Nostoc sp. PCC 7120 plasmid pCC7120delta DNA, complete sequence",55414,41.61
238,NC_003276.1,"Nostoc sp. PCC 7120 plasmid pCC7120alpha DNA, complete genome",408101,40.51
239,NC_003277.2,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT, complete sequence",93933,53.13
240,NC_003292.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid R46, complete sequence",50969,51.53
241,NC_003296.1,Ralstonia solanacearum GMI1000 megaplasmid complete sequence,2094509,66.87
242,NC_003320.2,"Lactobacillus curvatus strain CRL705 plasmid pRC18, complete sequence",18664,34.33
243,NC_003350.1,"Pseudomonas putida plasmid pWW0, complete sequence",116580,58.63
244,NC_003353.1,"Aster yellows phytoplasma plasmid extrachromosomal DNA, complete sequence",4278,23.94
245,NC_003374.1,"Gluconobacter oxydans DSM 3504 plasmid pGO128, complete sequence",4340,51.94
246,NC_003383.1,"Listeria innocua Clip11262 plasmid pLI100, complete sequence",81905,35.52
247,NC_003384.1,"Salmonella enterica subsp. enterica serovar Typhi str. CT18 plasmid pHCM1, complete sequence",218160,47.58
248,NC_003385.1,"Salmonella enterica subsp. enterica serovar Typhi str. CT18 plasmid pHCM2, complete sequence",106516,50.61
249,NC_003425.1,"Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis plasmid pWb1 DNA, complete sequence",5280,21.97
250,NC_003442.1,"Corynebacterium jeikeium plasmid pK64, complete sequence",10904,54.12
251,NC_003455.1,"Salmonella enteritidis plasmid pP, complete sequence",4301,49.45
252,NC_003456.1,"Salmonella enteritidis plasmid pK, complete sequence",4245,53.24
253,NC_003457.1,"Salmonella enteritidis plasmid pC, complete sequence",5269,48.38
254,NC_003458.1,"Lactobacillus acidophilus plasmid pLA103 DNA, complete sequence",13913,40.44
255,NC_003486.1,"Klebsiella pneumoniae plasmid pJHCMW1, complete sequence",11354,48.96
256,NC_003490.1,"Corynebacterium jeikeium plasmid pB85766, complete sequence",14875,55.08
257,NC_003526.1,"Micrococcus luteus NCIMB 13267 plasmid pMLU1, complete sequence",2331,62.33
258,NC_003527.1,"Bifidobacterium pseudocatenulatum plasmid p4M, complete sequence",4488,53.1
259,NC_003528.1,"Lactobacillus reuteri plasmid pTE44, complete sequence",4523,33.8
260,NC_003789.1,"Klebsiella sp. KCL-2 plasmid pMGD2, complete sequence",3564,47.73
261,NC_003846.1,Rhodococcus erythropolis plasmid pFAJ2600 complete sequence,5936,60.78
262,NC_003893.1,"Lactobacillus plantarum plasmid pLP2000, complete sequence",2061,38.23
263,NC_003894.1,"Lactobacillus plantarum plasmid pLP9000, complete sequence",9253,37.37
264,NC_003903.1,"Streptomyces coelicolor A3(2) plasmid SCP1, complete sequence",356023,69.06
265,NC_003904.1,"Streptomyces coelicolor A3(2) plasmid SCP2, complete sequence",31317,72.12
266,NC_003905.1,"Proteus vulgaris plasmid Rts1 DNA, complete sequence",217182,45.65
267,NC_003921.3,"Xanthomonas axonopodis pv. citri str. 306 plasmid pXAC33, complete sequence",33700,61.86
268,NC_003922.1,"Xanthomonas axonopodis pv. citri str. 306 plasmid pXAC64, complete sequence",64920,61.39
269,NC_003969.1,"Staphylococcus epidermidis plasmid pSepCH, complete sequence",2391,29.03
270,NC_004041.2,"Rhizobium etli CFN 42 plasmid symbiotic plasmid p42d, complete sequence",371254,57.82
271,NC_004058.1,"Haemophilus influenzae biotype aegyptius BPF plasmid pF3028, complete sequence",32379,36.67
272,NC_004059.1,"Bacillus thuringiensis sv entomocidus LBIT-113 plasmid pUIBI-1, complete sequence",4671,32.2
273,NC_004073.2,"Synechococcus elongatus PCC 7942 plasmid pANL, complete sequence",46366,52.89
274,NC_004160.1,"Paracoccus pantotrophus plasmid pWKS1, complete sequence",2697,62.81
275,NC_004163.1,"Lactococcus lactis subsp. lactis bv. diacetylactis cryptic plasmid pDR1-1B, complete sequence",7344,33.74
276,NC_004164.2,"Lactococcus lactis lactis bv. diacetylactis DRC1 cryptic plasmid pDR1-1, complete sequence",7412,33.68
277,NC_004252.1,"Bifidobacterium longum DJO10A plasmid pDOJH10L, complete sequence",10073,62.18
278,NC_004253.1,"Bifidobacterium longum DJO10A plasmid pDOJH10S, complete sequence",3661,66.18
279,NC_004319.1,"Corynebacterium efficiens YS-314 plasmid pCE2 DNA, complete sequence",23743,54.42
280,NC_004320.1,"Corynebacterium efficiens YS-314 plasmid pCE3 DNA, complete sequence",48672,56.4
281,NC_004334.1,"Bacillus thuringiensis 4Q2 plasmid pTX14-2, complete sequence",6829,36.04
282,NC_004335.1,"Bacillus thuringiensis sv thuringiensis H1.1 plasmid pGI1, complete sequence",8254,32.43
283,NC_004341.2,"Weissella cibaria plasmid pKLCB, complete sequence",3353,37.16
284,NC_004345.1,"Histophilus somni plasmid p9L, complete sequence",1338,43.65
285,NC_004349.1,"Shewanella oneidensis MR-1 plasmid megaplasmid, complete sequence",161613,43.69
286,NC_004429.1,"Escherichia coli plasmid pIS2, complete sequence",6349,47.38
287,NC_004443.1,"Bifidobacterium longum VMKB44 plasmid pB44, complete sequence",3624,65.12
288,NC_004444.1,"Pseudomonas resinovorans plasmid pCAR1, complete sequence",199035,56.34
